MAL11E,CBA1R8C1
CCK955,CCK 600
OT,OT
,nal1200
,CCK1500
,
0.81315,0.77957
1.13451,1.05897
1.2298,1.20513
1.28109,1.28115
1.30568,1.67065
1.40416,2.15081
1.85615,2.89971
1.87528,2.9317
2.15134,3.83935
2.22345,3.95762
2.26294,3.99783
2.306,4.10965
2.32762,4.72635
2.37915,4.96567
2.72591,5.32149
3.14699,5.36494
3.20376,5.45499
3.67838,5.48035
3.92577,5.70694
4.12693,5.7331
4.69725,6.8395
4.74011,7.03841
4.83363,7.24551
4.88307,7.44877
5.45999,7.90189
5.49097,7.98171
5.70065,8.17478
5.85023,8.25886
6.0516,8.90203
6.59518,8.99801
6.91612,9.39413
6.97292,9.54215
7.00376,9.56332
7.16581,9.72373
7.284,10.09705
7.32844,10.89127
7.365,11.01417
7.63564,11.22172
7.84537,11.35229
7.88848,11.53054
8.06511,12.12362
8.16683,12.58334
8.39298,12.68189
8.40702,13.69987
8.60998,13.9436
8.63993,14.0026
9.0196,14.04393
9.09434,14.14571
9.31376,14.25528
9.35168,14.517
9.3854,14.67637
9.94703,14.81215
10.00876,14.85712
10.29785,15.20045
10.31876,15.48481
10.71849,15.52106
10.77962,17.25978
10.9157,17.45731
10.96946,19.35509
11.27662,19.46564
11.31684,19.50449
11.64721,19.56257
11.86159,19.63704
12.37386,19.7811
12.57858,19.87314
12.65025,21.13588
12.70776,21.37702
12.8377,21.54693
13.00876,21.67098
13.16274,22.46128
13.2179,22.52178
13.25075,22.92106
13.50151,22.93903
13.92237,23.36379
13.96379,23.41115
14.00831,23.89952
14.02738,24.18759
14.05749,24.75281
14.9764,25.06583
15.05222,25.15714
15.1954,25.211
15.35436,25.27264
15.4905,25.72944
15.59244,27.35926
15.72887,27.4496
15.75896,27.59016
15.84358,27.94327
16.61088,27.96184
16.64227,28.2238
16.67938,28.41901
16.69947,28.4584
16.77529,28.57361
16.85028,29.11617
17.05113,29.2385
17.13375,29.31575
17.25376,29.94422
17.7196,30.01199
17.73835,30.32907
18.30088,30.44425
18.35988,31.08659
18.40424,31.34695
18.45215,31.92074
18.72531,31.98841
18.77166,32.12006
19.2136,32.16694
19.26398,32.22903
19.33451,32.66062
19.4969,32.96757
19.69453,32.9988
19.7372,33.36206
19.80498,33.5187
19.82866,34.02012
